,publisher,genres,title,price,id,developer,release_year
88310,Kotoshiro,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,4.99,761140.0,Kotoshiro,2018
88311,"Making Fun, Inc.","['Free to Play', 'Indie', 'RPG', 'Strategy']",Ironbound,0.0,643980.0,Secret Level SRL,2018
88312,Poolians.com,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']",Real Pool 3D - Poolians,0.0,670290.0,Poolians.com,2017
88313,彼岸领域,"['Action', 'Adventure', 'Casual']",弹炸人2222,0.99,767400.0,彼岸领域,2017
88315,Trickjump Games Ltd,"['Action', 'Adventure', 'Simulation']",Battle Royale Trainer,3.99,772540.0,Trickjump Games Ltd,2018
88317,Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Pro Pass,18.99,774277.0,Poppermost Productions,2018
88318,Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - All Access Legend Pass,29.99,774278.0,Poppermost Productions,2018
88322,Stegalosaurus Game Development,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,10.99,770380.0,Stegalosaurus Game Development,2018
88323,Copperpick Studio,"['Casual', 'Indie']",Beach Rules,3.99,768880.0,Copperpick Studio,2018
88324,Ghulam Jewel,"['Casual', 'Indie', 'Simulation']",Planetarium 2 - Zen Odyssey,2.99,765320.0,Ghulam Jewel,2018
88325,Apillo,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God,1.59,773650.0,Apillo,2018
88326,Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Starter Pack,14.99,774271.0,Poppermost Productions,2018
88327,Apillo,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,1.99,773690.0,Apillo,2018
88328,Poppermost Productions,"['Free to Play', 'Indie', 'Simulation', 'Sports']",SNOW - Lifetime Pack,59.99,774279.0,Poppermost Productions,2018
88331,Tero Lunkka,"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,0.99,768060.0,Tero Lunkka,2018
88333,FrozenPepper,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - Canyon Scenario,2.99,775880.0,FrozenPepper,2017
88334,FrozenPepper,"['Racing', 'Simulation', 'Sports']",RC Plane 3 - F-53B,2.99,775881.0,FrozenPepper,2017
